Rank,Augmentation Method,Accuracy (%),Precision (%),Recall (%),F1-Score (%)
1,GAN,82.0%,69.04%,61.98%,65.32%
2,MIXUP,76.92%,65.3%,57.66%,61.24%
3,FUSION,73.41%,62.11%,54.67%,58.15%
4,AUTO,72.54%,61.01%,53.93%,57.25%
5,VQVAE,69.91%,57.2%,51.7%,54.31%
6,MIAMIX,68.86%,58.06%,50.81%,54.19%
7,LSB,65.0%,54.66%,47.53%,50.85%
