Rank,Augmentation Method,Accuracy (%),Precision (%),Recall (%),F1-Score (%)
1,GAN,98.0%,96.54%,94.21%,95.36%
2,LSB,97.6%,95.87%,93.12%,94.47%
3,FUSION,97.3%,95.23%,92.87%,94.03%
4,MIXUP,96.8%,94.45%,91.98%,93.2%
5,MIAMIX,95.0%,92.11%,89.87%,90.97%
6,VQVAE,93.5%,90.89%,88.23%,89.54%
7,AUTO,92.0%,89.34%,87.12%,88.21%
